description	geneID
D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	augustus_masked-scaffold_45-processed-gene-0.200
D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	maker-scaffold_152-snap-gene-0.9
D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	augustus_masked-scaffold_45-processed-gene-0.196
D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	maker-scaffold_100-snap-gene-0.327
D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	maker-scaffold_16-snap-gene-2.65
D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	augustus_masked-scaffold_16-processed-gene-1.99
D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	augustus_masked-scaffold_45-processed-gene-0.197
D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	augustus_masked-scaffold_340-processed-gene-0.14
D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	maker-scaffold_45-snap-gene-0.77
D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	maker-scaffold_16-augustus-gene-2.232
D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	augustus_masked-scaffold_18-processed-gene-2.153
D-serine dehydratase-like domain	augustus_masked-scaffold_185-processed-gene-0.146
D-serine dehydratase-like domain	augustus_masked-scaffold_185-processed-gene-0.146
D-serine dehydratase-like domain	snap_masked-scaffold_254-processed-gene-0.7
D-serine dehydratase-like domain	snap_masked-scaffold_254-processed-gene-0.7
DAD/Ost2	snap_masked-scaffold_184-processed-gene-0.51
DAHP synthetase I/KDSA	maker-scaffold_351-augustus-gene-0.18
DAHP synthetase I/KDSA	maker-scaffold_8-snap-gene-3.71
DAHP synthetase I/KDSA	augustus_masked-scaffold_182-processed-gene-0.118
DAHP synthetase, class II	maker-scaffold_15-augustus-gene-2.300
DALR anticodon binding	augustus_masked-scaffold_272-processed-gene-0.81
DALR anticodon binding	augustus_masked-scaffold_272-processed-gene-0.81
DALR anticodon binding	augustus_masked-scaffold_13-processed-gene-1.121
DALR anticodon binding	augustus_masked-scaffold_13-processed-gene-1.121
DAMP1, SANT/Myb-like domain	maker-scaffold_194-augustus-gene-0.137
DapA-like	maker-scaffold_86-augustus-gene-0.285
DapA-like	maker-scaffold_86-augustus-gene-0.285
DapA-like	maker-scaffold_274-augustus-gene-0.6
DapA-like	maker-scaffold_274-augustus-gene-0.6
DASH complex subunit Ask1	snap_masked-scaffold_89-processed-gene-0.188
DASH complex subunit Dad1	maker-scaffold_147-snap-gene-0.148
DASH complex subunit Dad2	maker-scaffold_267-snap-gene-0.113
DASH complex subunit Dad4	maker-scaffold_61-snap-gene-0.245
DASH complex subunit Dam1	maker-scaffold_295-snap-gene-0.118
Dbl homology (DH) domain	snap_masked-scaffold_311-processed-gene-0.22
Dbl homology (DH) domain	snap_masked-scaffold_311-processed-gene-0.22
Dbl homology (DH) domain	snap_masked-scaffold_311-processed-gene-0.22
Dbl homology (DH) domain	snap_masked-scaffold_311-processed-gene-0.22
Dbl homology (DH) domain	augustus_masked-scaffold_10-processed-gene-1.59
Dbl homology (DH) domain	augustus_masked-scaffold_10-processed-gene-1.59
DBP10, C-terminal	augustus_masked-scaffold_255-processed-gene-0.184
DBP10, C-terminal	augustus_masked-scaffold_255-processed-gene-0.184
dCTP pyrophosphatase 1	maker-scaffold_290-augustus-gene-0.10
DDE superfamily endonuclease domain	snap_masked-scaffold_28-processed-gene-0.61
DDE superfamily endonuclease domain	maker-scaffold_478-snap-gene-0.1
DDE superfamily endonuclease domain	maker-scaffold_447-snap-gene-0.5
DDE superfamily endonuclease domain	maker-scaffold_78-snap-gene-1.3
DDE superfamily endonuclease domain	maker-scaffold_25-snap-gene-1.122
DDE superfamily endonuclease domain	maker-scaffold_15-snap-gene-1.66
DDE superfamily endonuclease domain	maker-scaffold_23-snap-gene-1.142
DDE superfamily endonuclease domain	maker-scaffold_61-snap-gene-0.147
DDE superfamily endonuclease domain	snap_masked-scaffold_122-processed-gene-0.89
DDE superfamily endonuclease domain	augustus_masked-scaffold_148-processed-gene-0.219
DDE superfamily endonuclease domain	augustus_masked-scaffold_148-processed-gene-0.219
DDE superfamily endonuclease domain	maker-scaffold_695-snap-gene-0.0
DDE superfamily endonuclease domain	maker-scaffold_75-snap-gene-0.228
DDE superfamily endonuclease domain	augustus_masked-scaffold_0-processed-gene-4.8
DDE superfamily endonuclease domain	snap_masked-scaffold_433-processed-gene-0.5
DDE superfamily endonuclease domain	augustus_masked-scaffold_106-processed-gene-0.130
DDE superfamily endonuclease domain	snap_masked-scaffold_274-processed-gene-0.45
DDE superfamily endonuclease domain	maker-scaffold_23-snap-gene-2.299
DDE superfamily endonuclease domain	maker-scaffold_9-snap-gene-0.49
DDE superfamily endonuclease domain	maker-scaffold_263-snap-gene-0.70
DDE superfamily endonuclease domain	snap_masked-scaffold_35-processed-gene-1.90
DDE superfamily endonuclease domain	maker-scaffold_39-snap-gene-1.209
DDE superfamily endonuclease domain	snap_masked-scaffold_154-processed-gene-2.60
DDE superfamily endonuclease domain	maker-scaffold_9-snap-gene-0.60
DDE superfamily endonuclease domain	maker-scaffold_45-snap-gene-1.251
DDE superfamily endonuclease domain	maker-scaffold_224-snap-gene-0.76
DDE superfamily endonuclease domain	maker-scaffold_0-snap-gene-4.160
DDE superfamily endonuclease domain	maker-scaffold_38-snap-gene-0.88
DDE superfamily endonuclease domain	maker-scaffold_38-snap-gene-0.88
DDE superfamily endonuclease domain	snap_masked-scaffold_82-processed-gene-0.106
DDE superfamily endonuclease domain	snap_masked-scaffold_564-processed-gene-0.4
DDE superfamily endonuclease domain	maker-scaffold_85-snap-gene-0.145
DDE superfamily endonuclease domain	maker-scaffold_17-snap-gene-2.68
DDE superfamily endonuclease domain	maker-scaffold_288-snap-gene-0.156
DDE superfamily endonuclease domain	maker-scaffold_121-snap-gene-0.107
DDE superfamily endonuclease domain	snap_masked-scaffold_246-processed-gene-0.144
DDE superfamily endonuclease domain	maker-scaffold_125-snap-gene-0.276
DDE superfamily endonuclease domain	maker-scaffold_79-snap-gene-0.317
DDE superfamily endonuclease domain	maker-scaffold_167-snap-gene-0.157
DDE superfamily endonuclease domain	maker-scaffold_273-snap-gene-0.49
DDE superfamily endonuclease domain	snap_masked-scaffold_134-processed-gene-0.28
DDE superfamily endonuclease domain	augustus_masked-scaffold_420-processed-gene-0.1
DDE superfamily endonuclease domain	maker-scaffold_609-augustus-gene-0.0
DDE superfamily endonuclease domain	maker-scaffold_85-snap-gene-0.77
DDE superfamily endonuclease domain	maker-scaffold_71-snap-gene-0.94
DDE superfamily endonuclease domain	snap_masked-scaffold_69-processed-gene-1.77
DDE superfamily endonuclease domain	snap_masked-scaffold_17-processed-gene-2.143
DDE superfamily endonuclease domain	maker-scaffold_26-snap-gene-2.70
DDE superfamily endonuclease domain	maker-scaffold_83-snap-gene-0.138
DDE superfamily endonuclease domain	maker-scaffold_388-snap-gene-0.20
DDE superfamily endonuclease domain	maker-scaffold_541-snap-gene-0.11
DDE superfamily endonuclease domain	snap_masked-scaffold_4-processed-gene-3.93
DDE superfamily endonuclease domain	snap_masked-scaffold_482-processed-gene-0.10
DDE superfamily endonuclease domain	maker-scaffold_17-snap-gene-2.51
DDE superfamily endonuclease domain	snap_masked-scaffold_28-processed-gene-0.46
DDE superfamily endonuclease domain	snap_masked-scaffold_143-processed-gene-0.98
DDE superfamily endonuclease domain	snap_masked-scaffold_283-processed-gene-0.87
DDE superfamily endonuclease domain	snap_masked-scaffold_181-processed-gene-0.108
DDE superfamily endonuclease domain	maker-scaffold_19-snap-gene-2.76
DDE superfamily endonuclease domain	snap_masked-scaffold_145-processed-gene-0.317
DDE superfamily endonuclease domain	maker-scaffold_159-snap-gene-0.58
DDE superfamily endonuclease domain	augustus_masked-scaffold_10-processed-gene-2.108
DDE superfamily endonuclease domain	maker-scaffold_21-snap-gene-2.214
DDE superfamily endonuclease domain	maker-scaffold_250-snap-gene-0.35
DDE superfamily endonuclease domain	maker-scaffold_708-snap-gene-0.0
DDE superfamily endonuclease domain	maker-scaffold_414-snap-gene-0.63
DDE superfamily endonuclease domain	maker-scaffold_137-snap-gene-0.79
DDE superfamily endonuclease domain	maker-scaffold_0-snap-gene-2.250
DDE superfamily endonuclease domain	snap_masked-scaffold_349-processed-gene-0.19
DDE superfamily endonuclease domain	maker-scaffold_123-snap-gene-0.188
DDE superfamily endonuclease domain	augustus_masked-scaffold_41-processed-gene-0.37
DDE superfamily endonuclease domain	maker-scaffold_9-snap-gene-1.90
DDE superfamily endonuclease domain	snap_masked-scaffold_139-processed-gene-0.104
DDE superfamily endonuclease domain	augustus_masked-scaffold_144-processed-gene-0.52
DDE superfamily endonuclease domain	maker-scaffold_41-snap-gene-0.46
DDE superfamily endonuclease domain	maker-scaffold_45-snap-gene-0.109
DDE superfamily endonuclease domain	augustus_masked-scaffold_218-processed-gene-0.48
DDE superfamily endonuclease domain	maker-scaffold_217-snap-gene-0.124
DDE superfamily endonuclease domain	maker-scaffold_90-snap-gene-0.142
DDE superfamily endonuclease domain	maker-scaffold_0-snap-gene-1.98
DDE superfamily endonuclease domain	maker-scaffold_45-snap-gene-1.286
DDE superfamily endonuclease domain	maker-scaffold_170-snap-gene-0.80
DDE superfamily endonuclease domain	maker-scaffold_58-snap-gene-0.75
DDE superfamily endonuclease domain	maker-scaffold_66-snap-gene-0.36
DDE superfamily endonuclease domain	maker-scaffold_74-snap-gene-0.150
DDE superfamily endonuclease domain	maker-scaffold_264-snap-gene-0.1
DDE superfamily endonuclease domain	maker-scaffold_10-snap-gene-0.163
DDE superfamily endonuclease domain	maker-scaffold_117-snap-gene-0.111
DDE superfamily endonuclease domain	maker-scaffold_34-snap-gene-1.144
DDE superfamily endonuclease domain	snap_masked-scaffold_153-processed-gene-0.119
DDE superfamily endonuclease domain	maker-scaffold_291-snap-gene-0.64
DDE superfamily endonuclease domain	maker-scaffold_39-snap-gene-1.224
DDE superfamily endonuclease domain	maker-scaffold_79-snap-gene-0.268
dDENN domain	maker-scaffold_0-snap-gene-2.283
dDENN domain	maker-scaffold_0-snap-gene-2.283
dDENN domain	maker-scaffold_11-snap-gene-2.265
dDENN domain	augustus_masked-scaffold_115-processed-gene-0.80
DDH domain	augustus_masked-scaffold_81-processed-gene-0.243
DDHD domain	maker-scaffold_128-snap-gene-0.48
DDHD domain	maker-scaffold_128-snap-gene-0.48
DDHD domain	augustus_masked-scaffold_40-processed-gene-1.101
DDHD domain	augustus_masked-scaffold_40-processed-gene-1.101
DDRGK domain containing protein	maker-scaffold_47-augustus-gene-0.27
DDRGK domain containing protein	maker-scaffold_47-augustus-gene-0.27
DDT domain	maker-scaffold_100-snap-gene-0.200
DDT domain	maker-scaffold_100-snap-gene-0.200
DDT domain	maker-scaffold_24-snap-gene-1.104
DEAD/DEAH box helicase domain	maker-scaffold_125-snap-gene-0.248
DEAD/DEAH box helicase domain	augustus_masked-scaffold_144-processed-gene-0.73
DEAD/DEAH box helicase domain	maker-scaffold_108-snap-gene-0.264
DEAD/DEAH box helicase domain	snap_masked-scaffold_125-processed-gene-0.127
DEAD/DEAH box helicase domain	augustus_masked-scaffold_381-processed-gene-0.62
DEAD/DEAH box helicase domain	maker-scaffold_10-snap-gene-2.155
DEAD/DEAH box helicase domain	maker-scaffold_185-snap-gene-0.77
DEAD/DEAH box helicase domain	maker-scaffold_0-snap-gene-2.284
DEAD/DEAH box helicase domain	augustus_masked-scaffold_21-processed-gene-0.73
DEAD/DEAH box helicase domain	maker-scaffold_144-snap-gene-0.116
DEAD/DEAH box helicase domain	augustus_masked-scaffold_53-processed-gene-0.13
DEAD/DEAH box helicase domain	augustus_masked-scaffold_53-processed-gene-0.13
DEAD/DEAH box helicase domain	maker-scaffold_136-snap-gene-0.66
DEAD/DEAH box helicase domain	maker-scaffold_112-snap-gene-0.196
DEAD/DEAH box helicase domain	maker-scaffold_30-snap-gene-2.148
DEAD/DEAH box helicase domain	augustus_masked-scaffold_2-processed-gene-4.95
DEAD/DEAH box helicase domain	maker-scaffold_154-augustus-gene-0.62
DEAD/DEAH box helicase domain	snap_masked-scaffold_225-processed-gene-0.119
DEAD/DEAH box helicase domain	snap_masked-scaffold_104-processed-gene-0.102
DEAD/DEAH box helicase domain	maker-scaffold_116-snap-gene-0.256
DEAD/DEAH box helicase domain	augustus_masked-scaffold_144-processed-gene-0.61
DEAD/DEAH box helicase domain	augustus_masked-scaffold_14-processed-gene-0.178
DEAD/DEAH box helicase domain	augustus_masked-scaffold_33-processed-gene-1.207
DEAD/DEAH box helicase domain	maker-scaffold_43-augustus-gene-0.423
DEAD/DEAH box helicase domain	augustus_masked-scaffold_97-processed-gene-0.400
DEAD/DEAH box helicase domain	augustus_masked-scaffold_5-processed-gene-3.106
DEAD/DEAH box helicase domain	augustus_masked-scaffold_30-processed-gene-0.68
DEAD/DEAH box helicase domain	snap_masked-scaffold_1-processed-gene-1.100
DEAD/DEAH box helicase domain	maker-scaffold_322-snap-gene-0.0
DEAD/DEAH box helicase domain	augustus_masked-scaffold_244-processed-gene-0.59
DEAD/DEAH box helicase domain	augustus_masked-scaffold_27-processed-gene-1.128
DEAD/DEAH box helicase domain	maker-scaffold_22-augustus-gene-1.13
DEAD/DEAH box helicase domain	augustus_masked-scaffold_25-processed-gene-0.13
DEAD/DEAH box helicase domain	augustus_masked-scaffold_39-processed-gene-1.161
DEAD/DEAH box helicase domain	augustus_masked-scaffold_29-processed-gene-2.152
DEAD/DEAH box helicase domain	maker-scaffold_2-snap-gene-1.80
DEAD/DEAH box helicase domain	augustus_masked-scaffold_11-processed-gene-2.358
DEAD/DEAH box helicase domain	augustus_masked-scaffold_137-processed-gene-0.168
DEAD/DEAH box helicase domain	augustus_masked-scaffold_5-processed-gene-3.91
DEAD/DEAH box helicase domain	snap_masked-scaffold_24-processed-gene-2.481
DEAD/DEAH box helicase domain	snap_masked-scaffold_61-processed-gene-0.104
DEAD/DEAH box helicase domain	augustus_masked-scaffold_267-processed-gene-0.49
DEAD/DEAH box helicase domain	maker-scaffold_237-snap-gene-0.45
DEAD/DEAH box helicase domain	augustus_masked-scaffold_190-processed-gene-0.148
DEAD/DEAH box helicase domain	maker-scaffold_33-snap-gene-1.92
DEAD/DEAH box helicase domain	maker-scaffold_14-snap-gene-2.391
DEAD/DEAH box helicase domain	snap_masked-scaffold_375-processed-gene-0.5
DEAD/DEAH box helicase domain	snap_masked-scaffold_375-processed-gene-0.5
DEAD/DEAH box helicase domain	maker-scaffold_48-snap-gene-1.165
DEAD/DEAH box helicase domain	maker-scaffold_22-snap-gene-0.90
DEAD/DEAH box helicase domain	augustus_masked-scaffold_2-processed-gene-4.97
DEAD/DEAH box helicase domain	augustus_masked-scaffold_133-processed-gene-0.63
DEAD/DEAH box helicase domain	maker-scaffold_33-snap-gene-1.38
DEAD/DEAH box helicase domain	maker-scaffold_29-augustus-gene-2.215
DEAD/DEAH box helicase domain	augustus_masked-scaffold_66-processed-gene-1.117
DEAD/DEAH box helicase domain	augustus_masked-scaffold_255-processed-gene-0.184
DEAD/DEAH box helicase domain	maker-scaffold_89-snap-gene-0.323
DEAD/DEAH box helicase domain	maker-scaffold_88-snap-gene-0.205
DEAD/DEAH box helicase domain	augustus_masked-scaffold_0-processed-gene-4.18
DEAD/DEAH-box helicase, putative	maker-scaffold_33-snap-gene-1.92
DEAD2	maker-scaffold_188-snap-gene-0.76
DEAD2	snap_masked-scaffold_188-processed-gene-0.14
DEAD2	maker-scaffold_98-snap-gene-0.46
DEAD2	maker-scaffold_112-snap-gene-0.134
DEAD2	maker-scaffold_2-snap-gene-3.123
DEAD2	augustus_masked-scaffold_102-processed-gene-0.8
DEAD2	augustus_masked-scaffold_37-processed-gene-1.382
DEAD2	maker-scaffold_88-snap-gene-0.163
Deaminase, LmjF36.5940-like	augustus_masked-scaffold_34-processed-gene-0.66
Death-like domain of Spt6	maker-scaffold_13-snap-gene-2.244
Decaprenyl diphosphate synthase-like	maker-scaffold_174-snap-gene-0.2
Decaprenyl diphosphate synthase-like	maker-scaffold_130-snap-gene-0.126
Decaprenyl diphosphate synthase-like	maker-scaffold_130-snap-gene-0.166
Dedicator of cytokinesis, C-terminal	maker-scaffold_58-snap-gene-0.73
DegT/DnrJ/EryC1/StrS aminotransferase	maker-scaffold_23-augustus-gene-2.73
Dehydrogenase, E1 component	maker-scaffold_79-snap-gene-0.231
Dehydrogenase, E1 component	maker-scaffold_140-augustus-gene-0.139
Dehydrogenase, E1 component	augustus_masked-scaffold_11-processed-gene-2.401
Dehydrogenase, E1 component	maker-scaffold_142-snap-gene-0.82
Dehydrogenase, E1 component	maker-scaffold_2-snap-gene-4.269
Dehydroquinase, class II	maker-scaffold_255-snap-gene-0.67
DEK, C-terminal	augustus_masked-scaffold_5-processed-gene-0.46
DEK, C-terminal	maker-scaffold_18-augustus-gene-0.10
DEK, C-terminal	maker-scaffold_27-snap-gene-2.238
DEK, C-terminal	maker-scaffold_218-snap-gene-0.111
Delta-aminolevulinic acid dehydratase	augustus_masked-scaffold_146-processed-gene-0.54
Delta-aminolevulinic acid dehydratase	augustus_masked-scaffold_146-processed-gene-0.54
DeoC/FbaB/ lacD aldolase	augustus_masked-scaffold_62-processed-gene-0.184
DeoC/FbaB/ lacD aldolase	augustus_masked-scaffold_62-processed-gene-0.184
Deoxyhypusine synthase	augustus_masked-scaffold_147-processed-gene-0.23
Deoxyribonuclease I	snap_masked-scaffold_61-processed-gene-1.11
Deoxyribonuclease II	maker-scaffold_30-snap-gene-0.104
DEP domain	maker-scaffold_79-snap-gene-0.206
DEP domain	snap_masked-scaffold_8-processed-gene-3.35
DEP domain	augustus_masked-scaffold_314-processed-gene-0.20
DEP domain	augustus_masked-scaffold_314-processed-gene-0.20
DEP domain	maker-scaffold_29-snap-gene-2.18
DEP domain	maker-scaffold_29-snap-gene-2.18
DEP domain	snap_masked-scaffold_314-processed-gene-0.32
DEP domain	snap_masked-scaffold_314-processed-gene-0.32
DEP domain	maker-scaffold_234-snap-gene-0.160
DEP domain	maker-scaffold_234-snap-gene-0.160
DEP domain	snap_masked-scaffold_74-processed-gene-0.43
DEP domain	snap_masked-scaffold_74-processed-gene-0.43
DEP domain	augustus_masked-scaffold_300-processed-gene-0.23
DEP domain	augustus_masked-scaffold_300-processed-gene-0.23
DEP domain	augustus_masked-scaffold_300-processed-gene-0.23
DEP domain	augustus_masked-scaffold_300-processed-gene-0.23
Dephospho-CoA kinase	maker-scaffold_78-augustus-gene-0.38
DET1- and DDB1-associated protein 1, N-terminal	maker-scaffold_215-snap-gene-0.111
Development/cell death domain	maker-scaffold_44-augustus-gene-0.60
Development/cell death domain	maker-scaffold_44-augustus-gene-0.60
DhaK domain	augustus_masked-scaffold_212-processed-gene-0.15
DhaL domain	augustus_masked-scaffold_212-processed-gene-0.15
DhaL domain	augustus_masked-scaffold_212-processed-gene-0.15
DHHA1 domain	augustus_masked-scaffold_73-processed-gene-1.207
DHHA1 domain	augustus_masked-scaffold_542-processed-gene-0.5
DHHA2 domain	augustus_masked-scaffold_81-processed-gene-0.243
DHHA2 domain	augustus_masked-scaffold_81-processed-gene-0.243
DHR-1 domain	maker-scaffold_58-snap-gene-0.73
Diacylglycerol acyltransferase	snap_masked-scaffold_258-processed-gene-0.62
Diacylglycerol acyltransferase	augustus_masked-scaffold_332-processed-gene-0.52
Diacylglycerol acyltransferase	maker-scaffold_865-snap-gene-0.222
Diacylglycerol acyltransferase	maker-scaffold_865-snap-gene-0.222
Diacylglycerol acyltransferase	maker-scaffold_192-augustus-gene-0.215
Diacylglycerol acyltransferase	augustus_masked-scaffold_332-processed-gene-0.51
Diacylglycerol acyltransferase	maker-scaffold_103-snap-gene-0.206
Diacylglycerol acyltransferase	maker-scaffold_103-snap-gene-0.212
Diacylglycerol acyltransferase	maker-scaffold_116-snap-gene-0.267
Diacylglycerol kinase, accessory domain	maker-scaffold_78-snap-gene-1.46
Diacylglycerol kinase, accessory domain	maker-scaffold_78-snap-gene-1.46
Diacylglycerol kinase, catalytic domain	augustus_masked-scaffold_10-processed-gene-2.99
Diacylglycerol kinase, catalytic domain	maker-scaffold_78-snap-gene-1.46
Diacylglycerol kinase, catalytic domain	maker-scaffold_78-snap-gene-1.46
Diacylglycerol kinase, catalytic domain	augustus_masked-scaffold_45-processed-gene-1.133
Diacylglycerol kinase, catalytic domain	augustus_masked-scaffold_45-processed-gene-1.133
Diacylglycerol kinase, catalytic domain	maker-scaffold_17-snap-gene-2.102
Dicer dimerisation domain	maker-scaffold_144-snap-gene-0.116
Dicer dimerisation domain	snap_masked-scaffold_107-processed-gene-0.205
Dienelactone hydrolase	augustus_masked-scaffold_91-processed-gene-0.18
Dienelactone hydrolase	augustus_masked-scaffold_127-processed-gene-0.41
Dienelactone hydrolase	augustus_masked-scaffold_13-processed-gene-2.101
Dienelactone hydrolase	maker-scaffold_59-snap-gene-1.416
Digestive organ expansion factor, predicted	augustus_masked-scaffold_67-processed-gene-0.97
Dihydrodipicolinate reductase, C-terminal	augustus_masked-scaffold_698-processed-gene-0.1
Dihydrodipicolinate reductase, N-terminal	augustus_masked-scaffold_698-processed-gene-0.1
Dihydrofolate reductase domain	maker-scaffold_138-snap-gene-0.63
Dihydrofolate reductase domain	augustus_masked-scaffold_248-processed-gene-0.38
Dihydroorotate dehydrogenase domain	augustus_masked-scaffold_384-processed-gene-0.8
Dihydroprymidine dehydrogenase domain II	augustus_masked-scaffold_18-processed-gene-2.144
Dihydroxy-acid/6-phosphogluconate dehydratase	augustus_masked-scaffold_68-processed-gene-1.127
Dihydroxy-acid/6-phosphogluconate dehydratase	augustus_masked-scaffold_68-processed-gene-1.127
Dim1 family	maker-scaffold_51-snap-gene-1.155
Dim1 family	maker-scaffold_51-snap-gene-1.155
Dim1 family	maker-scaffold_9-augustus-gene-2.0
Dim1 family	maker-scaffold_9-augustus-gene-2.0
DinB-like domain	augustus_masked-scaffold_40-processed-gene-1.103
Dipeptidylpeptidase IV, N-terminal domain	augustus_masked-scaffold_21-processed-gene-2.9
Diphthamide synthase domain	maker-scaffold_100-snap-gene-0.147
Diphthamide synthesis DPH1/DPH2	maker-scaffold_37-augustus-gene-1.446
Diphthamide synthesis DPH1/DPH2	maker-scaffold_268-snap-gene-0.61
DIRP domain	maker-scaffold_1-snap-gene-5.50
DIRP domain	maker-scaffold_1-snap-gene-5.50
DIX domain	maker-scaffold_30-snap-gene-1.125
DJ-1/PfpI	maker-scaffold_108-augustus-gene-0.17
DJ-1/PfpI	maker-scaffold_108-augustus-gene-0.17
DJ-1/PfpI	maker-scaffold_419-augustus-gene-0.55
DJ-1/PfpI	maker-scaffold_696-snap-gene-0.0
DJ-1/PfpI	maker-scaffold_195-augustus-gene-0.123
DM16 repeat	augustus_masked-scaffold_2-processed-gene-2.161
DM16 repeat	augustus_masked-scaffold_2-processed-gene-2.161
DNA (cytosine-5)-methyltransferase 1, replication foci domain	maker-scaffold_24-snap-gene-1.104
DNA binding HTH domain, Psq-type	snap_masked-scaffold_255-processed-gene-0.224
DNA binding HTH domain, Psq-type	maker-scaffold_24-augustus-gene-2.88
DNA binding HTH domain, Psq-type	maker-scaffold_28-snap-gene-2.126
DNA binding HTH domain, Psq-type	maker-scaffold_215-snap-gene-0.184
DNA binding HTH domain, Psq-type	maker-scaffold_193-snap-gene-0.113
DNA binding HTH domain, Psq-type	maker-scaffold_3-snap-gene-0.85
DNA binding HTH domain, Psq-type	maker-scaffold_184-snap-gene-0.138
DNA endonuclease Ctp1, C-terminal	augustus_masked-scaffold_224-processed-gene-0.41
DNA endonuclease Ctp1, C-terminal	augustus_masked-scaffold_224-processed-gene-0.41
DNA helicase	maker-scaffold_191-snap-gene-0.66
DNA helicase	snap_masked-scaffold_1-processed-gene-0.40
DNA helicase	maker-scaffold_111-snap-gene-0.69
DNA helicase	maker-scaffold_256-snap-gene-0.67
DNA helicase	maker-scaffold_117-snap-gene-0.50
DNA helicase	maker-scaffold_9-snap-gene-2.103
DNA helicase	maker-scaffold_92-snap-gene-0.141
DNA helicase	maker-scaffold_217-snap-gene-0.146
DNA helicase	maker-scaffold_593-snap-gene-0.1
DNA helicase Pif1-like	maker-scaffold_52-snap-gene-1.205
DNA helicase Pif1-like	maker-scaffold_191-snap-gene-0.66
DNA helicase Pif1-like	maker-scaffold_191-snap-gene-0.66
DNA helicase Pif1-like	snap_masked-scaffold_1-processed-gene-0.40
DNA helicase Pif1-like	maker-scaffold_111-snap-gene-0.69
DNA helicase Pif1-like	maker-scaffold_45-snap-gene-1.219
DNA helicase Pif1-like	maker-scaffold_291-snap-gene-0.56
DNA helicase Pif1-like	maker-scaffold_256-snap-gene-0.67
DNA helicase Pif1-like	maker-scaffold_256-snap-gene-0.67
DNA helicase Pif1-like	maker-scaffold_130-snap-gene-0.123
DNA helicase Pif1-like	augustus_masked-scaffold_81-processed-gene-0.226
DNA helicase Pif1-like	augustus_masked-scaffold_81-processed-gene-0.226
DNA helicase Pif1-like	augustus_masked-scaffold_81-processed-gene-0.226
DNA helicase Pif1-like	maker-scaffold_258-snap-gene-0.141
DNA helicase Pif1-like	maker-scaffold_117-snap-gene-0.50
DNA helicase Pif1-like	maker-scaffold_256-snap-gene-0.32
DNA helicase Pif1-like	snap_masked-scaffold_1-processed-gene-4.230
DNA helicase Pif1-like	maker-scaffold_320-snap-gene-0.49
DNA helicase Pif1-like	snap_masked-scaffold_142-processed-gene-0.202
DNA helicase Pif1-like	maker-scaffold_178-snap-gene-0.115
DNA helicase Pif1-like	maker-scaffold_1-snap-gene-5.80
DNA helicase Pif1-like	maker-scaffold_391-snap-gene-0.23
DNA helicase Pif1-like	maker-scaffold_289-snap-gene-0.178
DNA helicase Pif1-like	maker-scaffold_155-snap-gene-0.195
DNA helicase Pif1-like	maker-scaffold_9-snap-gene-2.103
DNA helicase Pif1-like	snap_masked-scaffold_56-processed-gene-1.86
DNA helicase Pif1-like	maker-scaffold_37-snap-gene-1.250
DNA helicase Pif1-like	augustus_masked-scaffold_74-processed-gene-0.109
DNA helicase Pif1-like	maker-scaffold_60-snap-gene-1.182
DNA helicase Pif1-like	maker-scaffold_92-snap-gene-0.141
DNA helicase Pif1-like	maker-scaffold_92-snap-gene-0.141
DNA helicase Pif1-like	maker-scaffold_4-snap-gene-1.208
DNA helicase Pif1-like	maker-scaffold_111-snap-gene-0.70
DNA helicase Pif1-like	snap_masked-scaffold_33-processed-gene-1.250
DNA helicase Pif1-like	maker-scaffold_17-snap-gene-2.37
DNA helicase Pif1-like	maker-scaffold_52-snap-gene-0.30
DNA helicase Pif1-like	maker-scaffold_471-snap-gene-0.15
DNA helicase Pif1-like	maker-scaffold_217-snap-gene-0.146
DNA helicase Pif1-like	maker-scaffold_250-snap-gene-0.6
DNA helicase Pif1-like	maker-scaffold_105-snap-gene-0.196
DNA helicase Pif1-like	maker-scaffold_387-augustus-gene-0.0
DNA helicase Pif1-like	augustus_masked-scaffold_45-processed-gene-1.137
DNA helicase Pif1-like	maker-scaffold_217-snap-gene-0.145
DNA helicase Pif1-like	maker-scaffold_428-snap-gene-0.15
DNA helicase Pif1-like	maker-scaffold_81-snap-gene-0.3
DNA helicase Pif1-like	maker-scaffold_84-snap-gene-0.278
DNA helicase Pif1-like	snap_masked-scaffold_127-processed-gene-0.84
DNA helicase Pif1-like	maker-scaffold_9-snap-gene-1.79
DNA helicase Pif1-like	maker-scaffold_196-snap-gene-0.20
DNA helicase Pif1-like	maker-scaffold_196-snap-gene-0.20
DNA helicase Pif1-like	maker-scaffold_252-snap-gene-0.49
DNA helicase Pif1-like	snap_masked-scaffold_1-processed-gene-5.136
